Year,CityName,GeographicLevel,Category,Measure,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,CityFIPS,TractFIPS,Short_Question_Text
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,65.0,63.9,66.1,0952000,09009142300,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,64.0,62.9,65.1,0952000,09009142400,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,65.5,64.5,66.4,0952000,09009142500,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,68.5,67.8,69.2,0952000,09009142601,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,75.4,74.8,76.0,0952000,09009142603,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,69.8,69.0,70.6,0952000,09009142604,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,66.5,65.8,67.1,0952000,09009142700,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,72.0,71.1,72.9,0952000,09009142800,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,61.8,60.2,63.3,0952000,09009361401,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,60.6,58.9,62.4,0952000,09009361402,Annual Checkup
2014,New Haven,City,Health Outcomes,Arthritis among adults aged >=18 Years,20.8,20.7,21.0,0952000,NA,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,11.5,11.1,12.0,0952000,09009140100,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,35.9,34.5,37.2,0952000,09009140200,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,21.8,21.1,22.5,0952000,09009140300,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,22.1,21.4,22.9,0952000,09009140400,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,24.1,23.2,24.9,0952000,09009140500,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,26.1,25.1,27.0,0952000,09009140600,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,19.2,18.4,20.2,0952000,09009140700,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,28.8,27.8,29.7,0952000,09009140800,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,22.6,21.5,23.5,0952000,09009140900,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,21.6,20.4,22.9,0952000,09009141000,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,25.3,24.2,26.6,0952000,09009141100,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,23.8,22.7,24.8,0952000,09009141200,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,15.5,15.0,16.1,0952000,09009141300,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,23.9,22.9,24.9,0952000,09009141400,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,27.7,26.5,28.9,0952000,09009141500,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,23.8,22.9,24.8,0952000,09009141600,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,16.3,15.7,17.0,0952000,09009141800,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,13.6,13.0,14.3,0952000,09009141900,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,13.1,12.5,13.8,0952000,09009142000,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,19.0,18.2,19.9,0952000,09009142100,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,17.8,16.8,18.8,0952000,09009142200,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,21.9,21.1,22.7,0952000,09009142300,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,20.9,20.3,21.6,0952000,09009142400,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,22.3,21.6,22.9,0952000,09009142500,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,22.5,21.8,23.2,0952000,09009142601,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,35.1,33.7,36.3,0952000,09009142603,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,23.3,22.5,24.1,0952000,09009142604,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,20.9,20.2,21.5,0952000,09009142700,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,24.9,23.6,26.3,0952000,09009142800,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,9.8,9.3,10.3,0952000,09009361401,Arthritis
2014,New Haven,Census Tract,Health Outcomes,Arthritis among adults aged >=18 Years,4.8,4.4,5.1,0952000,09009361402,Arthritis
2014,New Haven,City,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,14.7,14.6,14.8,0952000,NA,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,19.5,18.8,20.0,0952000,09009140100,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,8.1,7.6,8.5,0952000,09009140200,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,12.3,11.8,12.8,0952000,09009140300,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,13.5,12.9,14.0,0952000,09009140400,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,11.9,11.3,12.4,0952000,09009140500,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,11.6,11.1,12.1,0952000,09009140600,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,14.0,13.5,14.6,0952000,09009140700,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,10.8,10.4,11.2,0952000,09009140800,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,13.7,13.2,14.1,0952000,09009140900,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,16.3,15.8,16.8,0952000,09009141000,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,13.5,13.2,13.8,0952000,09009141100,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,13.2,12.8,13.6,0952000,09009141200,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,16.7,15.7,17.6,0952000,09009141300,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,12.7,12.3,13.2,0952000,09009141400,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,10.7,10.2,11.3,0952000,09009141500,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,14.0,13.4,14.5,0952000,09009141600,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,15.4,15.0,15.8,0952000,09009141800,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,19.6,18.9,20.4,0952000,09009141900,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,18.4,17.8,19.1,0952000,09009142000,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,14.4,13.8,15.0,0952000,09009142100,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,19.1,18.4,19.9,0952000,09009142200,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,13.4,12.8,14.0,0952000,09009142300,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,13.8,13.1,14.4,0952000,09009142400,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,13.9,13.3,14.4,0952000,09009142500,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,13.6,13.2,14.0,0952000,09009142601,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,10.0,9.7,10.3,0952000,09009142603,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,15.0,14.5,15.4,0952000,09009142604,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,15.0,14.6,15.3,0952000,09009142700,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,16.0,15.5,16.5,0952000,09009142800,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,18.9,17.8,20.0,0952000,09009361401,Binge Drinking
2014,New Haven,Census Tract,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,21.6,20.4,22.8,0952000,09009361402,Binge Drinking
2014,New Haven,City,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.6,4.6,4.7,0952000,NA,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,3.2,3.1,3.3,0952000,09009140100,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,8.4,7.6,9.3,0952000,09009140200,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,3.5,3.4,3.6,0952000,09009140300,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.2,4.0,4.3,0952000,09009140400,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,3.7,3.6,3.9,0952000,09009140500,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.7,4.5,4.9,0952000,09009140600,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,3.5,3.4,3.6,0952000,09009140700,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,5.5,5.3,5.7,0952000,09009140800,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.4,4.2,4.5,0952000,09009140900,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,6.6,6.3,6.9,0952000,09009141000,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,7.6,7.2,7.9,0952000,09009141100,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,5.2,5.0,5.4,0952000,09009141200,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,3.5,3.4,3.7,0952000,09009141300,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.8,4.6,5.0,0952000,09009141400,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.8,4.5,5.1,0952000,09009141500,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.4,4.2,4.6,0952000,09009141600,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.5,4.4,4.7,0952000,09009141800,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.7,4.4,4.9,0952000,09009141900,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.1,3.9,4.2,0952000,09009142000,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,3.4,3.3,3.5,0952000,09009142100,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,5.6,5.4,5.9,0952000,09009142200,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.1,3.9,4.2,0952000,09009142300,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,3.6,3.5,3.7,0952000,09009142400,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.4,4.2,4.5,0952000,09009142500,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.6,4.5,4.8,0952000,09009142601,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,9.3,8.8,9.8,0952000,09009142603,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,5.7,5.5,6.0,0952000,09009142604,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,4.7,4.6,4.9,0952000,09009142700,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,8.1,7.7,8.6,0952000,09009142800,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,2.4,2.3,2.4,0952000,09009361401,Cancer (except skin)
2014,New Haven,Census Tract,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,1.2,1.1,1.2,0952000,09009361402,Cancer (except skin)
2013,New Haven,City,Prevention,Cholesterol screening among adults aged >=18 Years,70.2,69.7,70.7,0952000,NA,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,65.8,62.8,68.4,0952000,09009140100,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,72.0,69.8,74.3,0952000,09009140200,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,64.4,62.2,66.6,0952000,09009140300,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,69.4,67.2,71.4,0952000,09009140400,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,68.5,66.1,70.8,0952000,09009140500,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,71.3,69.1,73.4,0952000,09009140600,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,65.5,63.1,68.0,0952000,09009140700,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,76.0,74.1,77.7,0952000,09009140800,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,73.7,71.6,75.6,0952000,09009140900,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,79.8,77.8,81.7,0952000,09009141000,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,82.6,81.4,83.8,0952000,09009141100,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,76.6,74.8,78.4,0952000,09009141200,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,58.0,53.3,62.6,0952000,09009141300,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,74.0,72.1,75.9,0952000,09009141400,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,74.6,72.0,77.0,0952000,09009141500,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,71.4,69.2,73.5,0952000,09009141600,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,72.0,69.8,74.2,0952000,09009141800,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,72.4,69.4,75.6,0952000,09009141900,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,68.1,64.9,70.9,0952000,09009142000,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,65.4,63.0,67.8,0952000,09009142100,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,75.9,72.9,78.6,0952000,09009142200,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,69.6,67.2,72.1,0952000,09009142300,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,67.0,64.5,69.4,0952000,09009142400,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,70.7,68.5,72.9,0952000,09009142500,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,73.3,71.6,75.0,0952000,09009142601,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,82.4,81.0,83.5,0952000,09009142603,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,77.3,75.7,78.9,0952000,09009142604,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,73.6,72.1,75.1,0952000,09009142700,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,82.6,81.0,84.2,0952000,09009142800,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,51.5,46.8,55.8,0952000,09009361401,Cholesterol Screening
2013,New Haven,Census Tract,Prevention,Cholesterol screening among adults aged >=18 Years,45.1,39.4,50.5,0952000,09009361402,Cholesterol Screening
2014,New Haven,City,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.5,2.4,2.5,0952000,NA,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,1.4,1.3,1.5,0952000,09009140100,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,4.7,4.2,5.4,0952000,09009140200,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,3.0,2.8,3.2,0952000,09009140300,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.9,2.7,3.1,0952000,09009140400,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,3.2,3.0,3.4,0952000,09009140500,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,3.4,3.2,3.7,0952000,09009140600,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.3,2.2,2.5,0952000,09009140700,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,3.4,3.2,3.7,0952000,09009140800,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.5,2.4,2.7,0952000,09009140900,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.0,1.9,2.2,0952000,09009141000,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.6,2.4,2.8,0952000,09009141100,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.6,2.5,2.8,0952000,09009141200,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.0,1.8,2.1,0952000,09009141300,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.7,2.5,2.9,0952000,09009141400,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,3.5,3.2,3.8,0952000,09009141500,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,3.0,2.8,3.3,0952000,09009141600,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,1.7,1.6,1.8,0952000,09009141800,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,1.4,1.3,1.5,0952000,09009141900,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,1.4,1.3,1.5,0952000,09009142000,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.3,2.2,2.5,0952000,09009142100,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,1.8,1.7,1.9,0952000,09009142200,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.9,2.7,3.1,0952000,09009142300,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.9,2.7,3.1,0952000,09009142400,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.8,2.6,3.0,0952000,09009142500,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.5,2.4,2.7,0952000,09009142601,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,3.8,3.5,4.1,0952000,09009142603,Chronic Kidney Disease
2014,New Haven,Census Tract,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,2.7,2.5,2.9,0952000,09009142604,Chronic Kidney Disease
